yr,cls,inc_cost,tot_cost,tech_type,base_cost,fuel_1,fuel_2,range_limited,intro_yr,intro,final,incr_cost,fuel_mo,cost,interval_k_miles,monthly_mi_dep_savings,subsidy,f1_mpgde,f2_mpgde,CD_range,flt,cohort,VMTShr,TruckShr,VMT,price_dge_f1,price_dge_f2,fuel_avail_pref_factor_multiplier,OPDAYS,VMTperday,fuel1_vmtshr,monthly_fuel_cost,base_monthly_fuel_cost,monthly_savings,pref_factor,indifference_calc,inc_cost_adj,adoption_curve,cumulative_proportion_willing_to_adopt,indiv_tech_adoption_rate,adj_indiv_tech_adoption_rate,final_mkt_shr,tech_shr_of_vmt,tech_shr_of_trk,conventional_diesel_ice,adv_conv,hev,bev,fcev,na
2021,78Sleep,163300,163300,base,163300,Diesel,N/A,FALSE,NA,NA,NA,NA,NA,0,350,0,NA,6.488893949405459,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,8562.634362079889,8562.634362079889,0,NA,NA,0.062176524022116264,Moderate,0,0,0,0.982013790039782,0.04981857518842811,0.025413915358426905,NA,NA,NA,NA,NA,NA
2021,78Sleep,1,163301,alt,163300,Diesel,N/A,FALSE,2021,0,0.5,5000,100,0,350,0,0,6.502215484834524,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,8545.091504989621,8562.634362079889,17.542857090267717,0.00899310498104578,0.00899310498104578,0.9999999998958342,Moderate,1,0.01798620996209156,0.017986209960218012,0.006974479907890744,3.5382257888390793e-4,1.804952678322409e-4,NA,1,NA,NA,NA,NA
2021,78Sleep,9691,172991,alt,163300,Diesel,N/A,FALSE,2021,0,0.5,5000,100,0,350,0,0,6.9282427260624955,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,8019.641992919731,8562.634362079889,542.992369160158,0.00899310498104578,0,0.9902649150664405,Moderate,0.7177177698896199,0.012909022502758818,0.012783352072285231,0.004956977172002621,2.5147257854773124e-4,1.2828353283900993e-4,NA,NA,19,NA,NA,NA
2021,78Sleep,803302,966602,alt,163300,Electricity,N/A,TRUE,2021,0,0.5,5000,100,0,350,0,0,13.466656528420819,1,477.7395036303814,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.4237110214,NA,0.06058693718652426,250,896.1680079175497,1,13065.028915763463,8562.634362079889,-4502.3945536835745,5.448646865984391e-4,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2021,78Sleep,1,163301,alt,163300,Hydrogen,N/A,FALSE,2021,0,0.5,5000,100,0,350,0,0,8.646587565444984,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,1.0648565759602588,NA,0.9317347591029426,250,896.1680079175497,1,2299.2943487177713,8562.634362079889,6263.340013362118,0.008379188503102162,0.008379188503102162,0.9999999998958342,Moderate,1,0.016758377006204323,0.016758377004458674,0.006054752880324649,3.071638755740748e-4,1.566932957331776e-4,NA,NA,NA,NA,1,NA
2021,78Sleep,1000000,1163300,alt,163300,Diesel,N/A,FALSE,2020,0,0,5000,100,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,55562.02630307146,8562.634362079889,-46999.391940991576,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
2022,78Sleep,163300,163300,base,163300,Diesel,N/A,FALSE,NA,NA,NA,NA,NA,0,350,0,NA,6.618661358461285,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,8526.28840624671,8526.28840624671,0,NA,NA,0.062176524022116264,Moderate,0,0,0,0.9525744539678545,0.04832508722270686,0.0246520433738085,NA,NA,NA,NA,NA,NA
2022,78Sleep,257.33623308312247,163557.33623308313,alt,163300,Diesel,N/A,FALSE,2021,0,0.5,5000,100,0,350,0,0,6.668444379597659,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,8462.635720285698,8526.28840624671,63.65268596101123,0.02371293658878339,0.02371293648062207,0.9999931019631402,Moderate,1,0.04742587317756678,0.047425546032145494,0.017943304832220827,9.102824114890136e-4,4.643617379731901e-4,NA,5,NA,NA,NA,NA
2022,78Sleep,9515.502899749787,172815.5028997498,alt,163300,Diesel,N/A,FALSE,2021,0,0.5,5000,100,0,350,0,0,7.116335003402794,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,7930.01110523006,8526.28840624671,596.2773010166493,0.02371293658878339,0,0.9906126681647868,Moderate,0.7822800694069151,0.03710031536103049,0.03675204238954544,0.013905018602323137,7.05415974564129e-4,3.5985336397615774e-4,NA,NA,17,NA,NA,NA
2022,78Sleep,746184.5028997498,909484.5028997498,alt,163300,Electricity,N/A,TRUE,2021,0,0.5,5000,100,0,350,0,0,13.701270876526285,1,483.34573117598865,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.5316462518,NA,0.09366379991368863,250,896.1680079175497,1,12988.38825279598,8526.28840624671,-4462.09984654927,0.0022210437480177938,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2022,78Sleep,1,163301,alt,163300,Hydrogen,N/A,FALSE,2021,0,0.5,5000,100,0,350,0,0,8.850364926110759,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,1.0648565759602588,NA,0.9317347591029426,250,896.1680079175497,1,2246.353691729366,8526.28840624671,6279.934714517343,0.022094167260173447,0.022094167260173447,0.9999999998958342,Moderate,1,0.04418833452034689,0.04418833451574398,0.015577222597601532,7.902486126738157e-4,4.031289790734842e-4,NA,NA,NA,NA,1,NA
2022,78Sleep,1000000,1163300,alt,163300,Diesel,N/A,FALSE,2020,0,0,5000,100,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,56432.61560552155,8526.28840624671,-47906.327199274834,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
2023,78Sleep,162800,162800,base,162800,Diesel,N/A,FALSE,NA,NA,NA,NA,NA,0,350,0,NA,6.739472763164692,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,8421.531167709489,8421.531167709489,0,NA,NA,0.062176524022116264,Moderate,0,0,0,0.8808000861895845,0.044683899314725675,0.02279456670074909,NA,NA,NA,NA,NA,NA
2023,78Sleep,490.7034805180095,163290.70348051802,alt,162800,Diesel,N/A,FALSE,2021,0,0.5,5000,100,0,350,0,0,6.819190270101489,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,8323.082020129048,8421.531167709489,98.4491475804407,0.05960146101105877,0.05960143608975009,0.9999747639432746,Moderate,1,0.11920292202211755,0.11919991381041556,0.04457797284690662,0.0022614866660185676,0.001153650631256047,NA,6,NA,NA,NA,NA
2023,78Sleep,9316.03681385133,172116.03681385133,alt,162800,Diesel,N/A,FALSE,2021,0,0.5,5000,100,0,350,0,0,7.286907862501444,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,7788.856535567235,8421.531167709489,632.6746321422534,0.05960146101105877,0,0.9909452302101686,Moderate,0.8131554612767673,0.09693050704243351,0.09605282361555265,0.035921503851193845,0.0018223350411602818,9.296265161252614e-4,NA,NA,16,NA,NA,NA
2023,78Sleep,689043.0368138512,851843.0368138512,alt,162800,Electricity,N/A,TRUE,2021,0,0.5,5000,100,0,350,0,0,13.914032616177685,1,488.9519587215959,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.680597014,NA,0.12155326065006883,250,896.1680079175497,1,12989.646227426374,8421.531167709489,-4568.115059716885,0.007244751925402142,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2023,78Sleep,1,162801,alt,162800,Hydrogen,N/A,FALSE,2021,0,0.5,5000,100,0,350,0,0,9.035161917884388,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,1.0648565759602588,NA,0.9317347591029426,250,896.1680079175497,1,2200.4088145413352,8421.531167709489,6221.1223531681535,0.05553275291732227,0.05553275291732227,0.9999999998951934,Moderate,1,0.11106550583464454,0.11106550582300415,0.03870043711231508,0.0019633131995293036,0.0010015436067009357,NA,NA,NA,NA,1,NA
2023,78Sleep,1000000,1162800,alt,162800,Diesel,N/A,FALSE,2020,0,0,5000,100,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,56756.67992892064,8421.531167709489,-48335.14876121115,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
