yr,cls,inc_cost,tot_cost,tech_type,base_cost,fuel_1,fuel_2,range_limited,intro_yr,intro,final,incr_cost,fuel_mo,cost,interval_k_miles,monthly_mi_dep_savings,subsidy,f1_mpgde,f2_mpgde,CD_range,flt,cohort,VMTShr,TruckShr,VMT,price_dge_f1,price_dge_f2,fuel_avail_pref_factor_multiplier,OPDAYS,VMTperday,fuel1_vmtshr,monthly_fuel_cost,base_monthly_fuel_cost,monthly_savings,pref_factor,indifference_calc,inc_cost_adj,adoption_curve,cumulative_proportion_willing_to_adopt,indiv_tech_adoption_rate,adj_indiv_tech_adoption_rate,final_mkt_shr,tech_shr_of_vmt,tech_shr_of_trk,conventional_diesel_ice,adv_conv,hev,bev,fcev,na,isg,phev,fchev
2022,78Sleep,1,163301,alt,163300,Hydrogen,N/A,FALSE,2021,0,0.5,0.5,1,0,350,0,0,8.850364926110759,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,1.0648565759602588,NA,0.9317347591029426,250,896.1680079175497,1,2246.353691729366,8526.28840624671,6279.934714517343,0.022094167260173447,0,0.9999999998958342,Moderate,1,0.04418833452034689,0.04418833451574398,0.04418833451574398,0.002241719910506373,0.001143567029916635,NA,NA,NA,NA,1,NA,NA,NA,NA
2022,78Sleep,1000000,1163300,alt,163300,Diesel,N/A,FALSE,2020,0,0,0.5,1,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,56432.61560552155,8526.28840624671,-47906.327199274834,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,NA,NA,86,NA,NA,NA
2023,78Sleep,162800,162800,base,162800,Diesel,N/A,FALSE,NA,NA,NA,NA,NA,0,350,0,NA,6.739472763164692,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,8421.531167709489,8421.531167709489,0,NA,NA,0.062176524022116264,Moderate,0,0,0,0.8889344941769959,0.04509656624470614,0.023005080196770982,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,78Sleep,490.7034805180095,163290.70348051802,alt,162800,Diesel,N/A,FALSE,2021,0,0,0.5,1,0,350,0,0,6.819190270101489,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,8323.082020129048,8421.531167709489,98.4491475804407,0,0,0.9999747639432746,Moderate,1,0,0,0,0,0,NA,6,NA,NA,NA,NA,NA,NA,NA
2023,78Sleep,9316.03681385133,172116.03681385133,alt,162800,Diesel,N/A,FALSE,2021,0,0,0.5,1,0,350,0,0,7.286907862501444,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,7788.856535567235,8421.531167709489,632.6746321422534,0,0,0.9909452302101686,Moderate,0.8131554612767673,0,0,0,0,0,NA,NA,16,NA,NA,NA,NA,NA,NA
2023,78Sleep,689043.0368138512,851843.0368138512,alt,162800,Electricity,N/A,TRUE,2021,0,0,0.5,1,0,350,0,0,13.914032616177685,1,488.9519587215959,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.680597014,NA,0.12155326065006883,250,896.1680079175497,1,12989.646227426374,8421.531167709489,-4568.115059716885,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,86,NA,NA,NA,NA,NA
2023,78Sleep,1,162801,alt,162800,Hydrogen,N/A,FALSE,2021,0,0.5,0.5,1,0,350,0,0,9.035161917884388,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,1.0648565759602588,NA,0.9317347591029426,250,896.1680079175497,1,2200.4088145413352,8421.531167709489,6221.1223531681535,0.05553275291732227,0,0.9999999998951934,Moderate,1,0.11106550583464454,0.11106550582300415,0.11106550582300415,0.005634467976727681,0.00287430725806035,NA,NA,NA,NA,1,NA,NA,NA,NA
2023,78Sleep,1000000,1162800,alt,162800,Diesel,N/A,FALSE,2020,0,0,0.5,1,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,56756.67992892064,8421.531167709489,-48335.14876121115,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,NA,NA,86,NA,NA,NA
2024,78Sleep,167400,167400,base,167400,Diesel,N/A,FALSE,NA,NA,NA,NA,NA,0,350,0,NA,6.899535752194237,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0947866083000006,NA,1,250,896.1680079175497,1,8374.502917364436,8374.502917364436,0,NA,NA,0.062176524022116264,Moderate,0,0,0,0.7494179295718637,0.0380187466312663,0.01939447696498776,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,78Sleep,809.9001793835748,168209.90017938358,alt,167400,Diesel,N/A,FALSE,2021,0,0,0.5,1,0,350,0,0,7.025378546928115,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0947866083000006,NA,1,250,896.1680079175497,1,8224.493797629675,8374.502917364436,150.00911973476104,0,0,0.999934981721966,Moderate,1,0,0,0,0,0,NA,6,NA,NA,NA,NA,NA,NA,NA
2024,78Sleep,9202.400179383549,176602.40017938355,alt,167400,Diesel,N/A,FALSE,2021,0,0,0.5,1,0,350,0,0,7.520215210206873,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0947866083000006,NA,1,250,896.1680079175497,1,7683.314994335301,8374.502917364436,691.1879230291352,0,0,0.9916407506470306,Moderate,0.8707376536273742,0,0,0,0,0,NA,NA,14,NA,NA,NA,NA,NA,NA
