yr,cls,inc_cost,tot_cost,tech_type,base_cost,fuel_1,fuel_2,range_limited,intro_yr,intro,final,incr_cost,fuel_mo,cost,interval_k_miles,monthly_mi_dep_savings,subsidy,f1_mpgde,f2_mpgde,CD_range,flt,cohort,VMTShr,TruckShr,VMT,price_dge_f1,price_dge_f2,fuel_avail_pref_factor_multiplier,OPDAYS,VMTperday,fuel1_vmtshr,monthly_fuel_cost,base_monthly_fuel_cost,monthly_savings,pref_factor,indifference_calc,inc_cost_adj,adoption_curve,cumulative_proportion_willing_to_adopt,indiv_tech_adoption_rate,adj_indiv_tech_adoption_rate,final_mkt_shr,final_mkt_shr_v7,tech_shr_of_vmt,tech_shr_of_trk,tech_shr_of_vmt_v7,tech_shr_of_trk_v7,conventional_diesel_ice,adv_conv,hev,bev,fcev,na
2023,78Sleep,1000000,1153887.6238913627,alt,153887.62389136266,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,6.860940645431103,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,8272.434183892343,8421.531167709489,149.09698381714588,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,86,NA,NA,NA,NA
2023,78Sleep,1000000,1153887.6238913627,alt,153887.62389136266,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.329114623951317,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,7744.002221419977,8421.531167709489,677.5289462895116,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,86,NA,NA,NA
2023,78Sleep,1000000,1153887.6238913627,alt,153887.62389136266,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,13.91732708517682,1,488.36322601782445,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.680597014,NA,1,250,896.1680079175497,1,12986.571356329065,8421.531167709489,-4565.040188619576,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2023,78Sleep,1000000,1153887.6238913627,alt,153887.62389136266,Hydrogen,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,9.04981345034743,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,7.234724292101341,NA,1,250,896.1680079175497,1,14925.557333901577,8421.531167709489,-6504.026166192089,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,86,NA
2023,78Sleep,1000000,1153887.6238913627,alt,153887.62389136266,Diesel,N/A,FALSE,2025,0,0,5,5,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0399664042000003,NA,1,250,896.1680079175497,1,56756.67992892064,8421.531167709489,-48335.14876121115,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
2024,78Sleep,1000000,1155468.9856745866,alt,155468.9856745867,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.070248586403799,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0947866083000006,NA,1,250,896.1680079175497,1,8172.298552037206,8374.502917364436,202.20436532723033,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,86,NA,NA,NA,NA
2024,78Sleep,1000000,1155468.9856745866,alt,155468.9856745867,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.56280404903174,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0947866083000006,NA,1,250,896.1680079175497,1,7640.0475155254635,8374.502917364436,734.4554018389726,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,86,NA,NA,NA
2024,78Sleep,1000000,1155468.9856745866,alt,155468.9856745867,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,14.191273573234364,1,494.0728342595568,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.8160969276,NA,1,250,896.1680079175497,1,12914.145184210725,8374.502917364436,-4539.642266846289,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2024,78Sleep,1000000,1155468.9856745866,alt,155468.9856745867,Hydrogen,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,9.28481764401207,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,6.2011922503725785,NA,1,250,896.1680079175497,1,12469.528030423362,8374.502917364436,-4095.025113058926,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,86,NA
2024,78Sleep,1000000,1155468.9856745866,alt,155468.9856745867,Diesel,N/A,FALSE,2025,0,0,5,5,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0947866083000006,NA,1,250,896.1680079175497,1,57780.18228521087,8374.502917364436,-49405.67936784643,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
2025,78Sleep,1370.3512113064376,158648.39118098008,alt,157278.03996967364,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.279556527376493,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.1132364822999996,NA,1,250,896.1680079175497,1,7984.640862698389,8206.629165770395,221.9883030720057,0.00899310498104578,0,0.9997891472310344,Moderate,0.9967272854070297,0.017927346230276395,0.017923566199683535,0.009477067230747326,0.009477067230747328,4.807814220018717e-4,2.452606947999955e-4,4.8078142200187176e-4,2.452606947999955e-4,NA,7,NA,NA,NA,NA
2025,78Sleep,9327.48066679778,166605.52063647142,alt,157278.03996967364,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.796493474112162,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.1132364822999996,NA,1,250,896.1680079175497,1,7455.229033900035,8206.629165770395,751.4001318703604,0.00899310498104578,0,0.9902776722253624,Moderate,0.8968721742495617,0.016131331235210183,0.01597449714550022,0.00844649896893621,0.008446498968936208,4.2849962824440836e-4,2.1859021945393352e-4,4.2849962824440826e-4,2.1859021945393347e-4,NA,NA,13,NA,NA,NA
2025,78Sleep,548412.8458185317,705690.8857882053,alt,157278.03996967364,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,14.465220061291907,1,499.7824425012892,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,10.024830441199999,NA,1,250,896.1680079175497,1,12938.98440554708,8206.629165770395,-4732.355239776685,0.00899310498104578,0,2.1094237467877974e-15,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2025,78Sleep,140076.3663988047,297354.4063684783,alt,157278.03996967364,Hydrogen,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,9.519821837676705,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,5.167660208643816,NA,1,250,896.1680079175497,1,10134.756707592716,8206.629165770395,-1928.1275418223213,0.00899310498104578,0,0.11042834878941954,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,86,NA
2025,78Sleep,1000000,1157278.0399696736,alt,157278.03996967364,Diesel,N/A,FALSE,2025,0,0,5,5,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.1132364822999996,NA,1,250,896.1680079175497,1,58124.64451081314,8206.629165770395,-49918.015345042746,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
