yr,cls,tech,all_targets: tech_shr_of_vmt,base case: tech_shr_of_vmt,scenario 1: tech_shr_of_vmt,scenario 2: tech_shr_of_vmt,scenario 3: tech_shr_of_vmt,scenario 1 and 2: tech_shr_of_vmt
2039,78Day,fcev,0.030274548,1.19E-04,1.19E-04,1.19E-04,0.030274548,1.19E-04
2039,78Sleep,fcev,3.09E-04,0,0,0,3.09E-04,0
2039,78SU,fcev,0.016361418,0.007214295,0.007214295,0.007214295,0.016361418,0.007214295
2040,78Day,fcev,0.042335874,0.001622587,0.001622587,0.001622587,0.042335874,0.001622587
2040,78Sleep,fcev,0.001409712,0,0,0,0.001409712,0
2040,78SU,fcev,0.018866961,0.009876482,0.009876482,0.009876482,0.018866961,0.009876482
2041,78Day,fcev,0.065735092,0.010928556,0.010928556,0.010928556,0.065735092,0.010928556
2041,78Sleep,fcev,0.006551009,0,0,0,0.006551009,0
2041,78SU,fcev,0.024599994,0.01540903,0.01540903,0.01540903,0.024599994,0.01540903
2042,78Day,fcev,0.100273073,0.041501971,0.041501971,0.041501971,0.100273073,0.041501971
2042,78Sleep,fcev,0.025512405,8.42E-05,8.42E-05,8.42E-05,0.025512405,8.42E-05
2042,78SU,fcev,0.035100216,0.025490295,0.025490295,0.025490295,0.035100216,0.025490295
2043,78Day,fcev,0.137529569,0.086205809,0.086205809,0.086205809,0.137529569,0.086205809
2043,78Sleep,fcev,0.067135987,0.007303151,0.007303151,0.007303151,0.067135987,0.007303151
2043,78SU,fcev,0.050640946,0.041026252,0.041026252,0.041026252,0.050640946,0.041026252
2044,78Day,fcev,0.174217907,0.137809032,0.137809032,0.137809032,0.174217907,0.137809032
2044,78Sleep,fcev,0.125572893,0.046494115,0.046494115,0.046494115,0.125572893,0.046494115
2044,78SU,fcev,0.07323418,0.062285366,0.062285366,0.062285366,0.07323418,0.062285366
2045,78Day,fcev,0.205704618,0.180723119,0.180723119,0.180723119,0.205704618,0.180723119
2045,78Sleep,fcev,0.181001391,0.122492342,0.122492342,0.122492342,0.181001391,0.122492342
2045,78SU,fcev,0.103206809,0.09187182,0.09187182,0.09187182,0.103206809,0.09187182
2046,78Day,fcev,0.22207074,0.206772364,0.206772364,0.206772364,0.22207074,0.206772364
2046,78Sleep,fcev,0.213142838,0.176329876,0.176329876,0.176329876,0.213142838,0.176329876
2046,78SU,fcev,0.130343687,0.121270941,0.121270941,0.121270941,0.130343687,0.121270941
2047,78Day,fcev,0.233368043,0.225374835,0.225374835,0.225374835,0.233368043,0.225374835
2047,78Sleep,fcev,0.231758793,0.211735814,0.211735814,0.211735814,0.231758793,0.211735814
2047,78SU,fcev,0.150501918,0.144126626,0.144126626,0.144126626,0.150501918,0.144126626
2048,78Day,fcev,0.240375854,0.235955946,0.235955946,0.235955946,0.240375854,0.235955946
2048,78Sleep,fcev,0.240879195,0.231262075,0.231262075,0.231262075,0.240879195,0.231262075
2048,78SU,fcev,0.162235479,0.158153759,0.158153759,0.158153759,0.162235479,0.158153759
2049,78Day,fcev,0.245776827,0.243170917,0.243170917,0.243170917,0.245776827,0.243170917
2049,78Sleep,fcev,0.244864538,0.242060686,0.242060686,0.242060686,0.244864538,0.242060686
2049,78SU,fcev,0.169237888,0.168638605,0.168638605,0.168638605,0.169237888,0.168638605
2050,78Day,fcev,0.252771572,0.252771572,0.252771572,0.252771572,0.252771572,0.252771572
2050,78Sleep,fcev,0.250871629,0.250871629,0.250871629,0.250871629,0.250871629,0.250871629
2050,78SU,fcev,0.181859805,0.181859805,0.181859805,0.181859805,0.181859805,0.181859805
